continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
South America,Peru,2024-08-04,4526977.0,0.0,0.0,220975.0,0.0,0.0,135232.81,PER,lima,lima,few clouds,295.29,295.29
Asia,Philippines,2024-08-04,4140383.0,0.0,0.0,66864.0,0.0,0.0,36330.51,PHL,manila,manila,broken clouds,300.44,299.29
Oceania,Pitcairn,2024-08-04,4.0,0.0,0.0,0.0,0.0,0.0,88888.89,PCN,adamstown,adamstown,light rain,297.41,297.41
Europe,Poland,2024-08-04,6670799.0,2463.0,351.857,120726.0,4.0,0.571,173783.28,POL,warsaw,warsaw,clear sky,283.59,281.36
Europe,Portugal,2024-08-04,5664109.0,1055.0,150.714,28809.0,50.0,7.143,543733.1,PRT,lisbon,lisbon,moderate rain,289.57,288.22
North America,Puerto Rico,2024-08-04,1252713.0,0.0,0.0,5938.0,0.0,0.0,386523.97,PRI,san juan,san juan,clear sky,304.33,304.33
Asia,Qatar,2024-08-04,514524.0,0.0,0.0,690.0,0.0,0.0,177884.27,QAT,doha,doha,clear sky,300.32,298.14
Europe,Romania,2024-08-04,3541619.0,4633.0,661.857,68825.0,6.0,0.857,184779.06,ROU,bucharest,bucharest,clear sky,282.2,280.85
Europe,Russia,2024-08-04,24268728.0,7777.0,1111.0,403188.0,10.0,1.429,166703.84,RUS,moscow,moscow,overcast clouds,277.8,277.39
Africa,Rwanda,2024-08-04,133264.0,0.0,0.0,1468.0,0.0,0.0,9762.196,RWA,kigali,kigali,scattered clouds,295.86,295.86
North America,Saint Barthelemy,2024-08-04,5507.0,0.0,0.0,5.0,0.0,0.0,503014.25,BLM,gustavia,gustavia,broken clouds,300.44,300.44
Africa,Saint Helena,2024-08-04,2166.0,0.0,0.0,0.0,0.0,0.0,403427.1,SHN,jamestown,jamestown,clear sky,292.9,291.95
North America,Saint Kitts and Nevis,2024-08-04,6607.0,0.0,0.0,46.0,0.0,0.0,141383.66,KNA,basseterre,basseterre,few clouds,302.36,302.36
North America,Saint Lucia,2024-08-04,30282.0,0.0,0.0,410.0,0.0,0.0,169368.1,LCA,castries,castries,few clouds,302.35,302.35
North America,Saint Martin (French part),2024-08-04,12324.0,0.0,0.0,46.0,0.0,0.0,426465.5,MAF,marigot,marigot,broken clouds,299.36,299.36
North America,Saint Pierre and Miquelon,2024-08-04,3426.0,0.0,0.0,2.0,0.0,0.0,594791.7,SPM,saint-pierre,saint-pierre,light rain,299.97,299.97
North America,Saint Vincent and the Grenadines,2024-08-04,9674.0,0.0,0.0,124.0,0.0,0.0,94785.52,VCT,kingstown,kingstown,broken clouds,304.75,304.75
Oceania,Samoa,2024-08-04,17057.0,0.0,0.0,31.0,0.0,0.0,79235.75,WSM,apia,apia,overcast clouds,301.99,301.99
Europe,San Marino,2024-08-04,25292.0,0.0,0.0,126.0,0.0,0.0,741418.25,SMR,san marino,san marino,clear sky,282.39,280.55
Asia,Saudi Arabia,2024-08-04,841469.0,0.0,0.0,9646.0,0.0,0.0,26152.596,SAU,riyadh,riyadh,few clouds,303.71,303.71
